Id,Phylum_color,Order_color,Name,Domain,Phylum,Class,Order,Family,Genus,Size
OTU4,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,166304
OTU762,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,3209
OTU38,#FFFF00FF,Burkholderiales,Oxalobacteraceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Pseudoduganella,70941
OTU427,#FFFF00FF,Burkholderiales,Oxalobacteraceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Pseudoduganella,8209
OTU188,#FFFF00FF,Burkholderiales,Hydrogenophaga,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Hydrogenophaga,18726
OTU478,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Ramlibacter,1454
OTU181,#FFFF00FF,Burkholderiales,Acidovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Acidovorax,13274
OTU99,#FFFF00FF,Burkholderiales,Pelomonas,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Pelomonas,46942
OTU709,#FFFF00FF,Burkholderiales,Acidovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Acidovorax,1012
OTU1323,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Ramlibacter,2630
OTU702,#FFFF00FF,Burkholderiales,Aquabacterium,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,3590
OTU1154,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Caldimonas,2826
OTU304,#FFFF00FF,Burkholderiales,Proteobacteria,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Methylibium,6100
OTU172,#FFFF00FF,Burkholderiales,Aquabacterium,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,13871
OTU197,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Mitsuaria,13256
OTU860,#FFFF00FF,Burkholderiales,Massilia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Massilia,2003
OTU570,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,3527
OTU254,#FFFF00FF,Burkholderiales,Aquabacterium,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,7158
OTU984,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Alcaligenaceae,Azohydromonas,2449
OTU371,#FFFF00FF,Burkholderiales,Aquabacterium,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,6625
OTU692,#FFFF00FF,Burkholderiales,Burkholderia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiaceae,Burkholderia,903
OTU410,#FFFF00FF,Burkholderiales,Acidovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Acidovorax,9711
OTU334,#FFFF00FF,Burkholderiales,Massilia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Massilia,862
OTU500,#FFFF00FF,Burkholderiales,Massilia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Massilia,928
OTU124,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Rubrivivax,9722
