"","A17","dmi2","dmi3","ipd3","lyk3","nfp","pt4"
"MSTRG.29629",19.3839,19.5742,24.9959,21.2389,19.9028,23.3371,21.6725
"MSTRG.2963",2.33304,3.04404,3.38366,3.05459,3.26322,3.24599,2.83985
"MSTRG.29630",0.432737,0.493428,0.554283,0.542595,0.358173,0.487139,0.578626
"MSTRG.29631",0.597035,0.896275,1.79141,0.761387,0.488003,0.658257,0.928004
"MSTRG.29632",0,0,0,0.203581,0,0,0
"MSTRG.29633",0.775534,1.00716,1.19415,0.948731,0.802709,1.08326,1.02948
"MSTRG.29634",0.520995,1.1073,2.70154,1.08383,0.899413,1.63408,1.48163
"MSTRG.29635",9.46116,11.7528,14.041,19.1121,13.4148,18.5771,11.4017
"MSTRG.29636",14.363,19.1273,15.7633,18.0349,15.5346,18.1567,15.2785
"MSTRG.29637",73.9614,69.8587,62.497,83.9774,64.8835,61.2367,61.8202
"MSTRG.29638",28.8931,34.2651,27.5678,33.3607,32.0675,31.2256,27.5899
"MSTRG.29639",20.4335,17.2225,14.1035,19.9365,26.4092,19.4187,12.8175
"MSTRG.2964",20.2706,30.3253,40.7451,27.3359,24.4908,30.4392,42.0779
"MSTRG.29640",8.59503,8.9111,4.70202,6.95062,7.75919,6.27003,6.40634
"MSTRG.29641",1.32862,4.01669,4.05026,1.28477,1.44767,0.743865,2.66852
"MSTRG.29642",2.47192,1.50111,1.03464,1.19615,1.00501,0.963067,0.786903
"MSTRG.29643",0.930253,0.591702,0.425381,0.578028,0.449031,0.950778,0.459356
"MSTRG.29644",17.3071,20.2049,19.7417,19.6901,18.7873,21.9478,19.14
"MSTRG.29645",0.330098,0.313668,0.485653,0.312458,0.432398,0.352341,0.440393
"MSTRG.29646",3.58547,1.13979,1.06956,6.6753,2.93203,1.29648,1.88855
"MSTRG.29647",0.896586,0.440175,0.273072,1.69917,0.960594,0.978537,0.602069
"MSTRG.29648",4.08338,3.54585,4.53946,4.02343,3.35621,3.52441,3.99868
"MSTRG.29649",0,0,0,0,0,191.669,0
"MSTRG.2965",26.1697,15.6419,8.04286,16.0558,25.9239,17.2132,9.01116
"MSTRG.29650",6.62457,10.0625,12.2869,7.28092,9.45316,6.76782,9.8508
"MSTRG.29651",25.3013,21.9931,14.6327,19.9571,17.9886,18.2706,15.5605
"MSTRG.29652",1.97719,4.10287,6.90987,2.75688,3.00382,4.89273,5.97741
"MSTRG.29653",0,0,0,0,0,0,0
"MSTRG.29654",0.835251,0.993898,1.51362,0.921948,0.776555,1.0541,1.4653
"MSTRG.29655",25.7678,24.7272,28.9339,27.9327,24.5939,27.2955,23.9538
"MSTRG.29656",1.16494,0.831645,1.51036,1.15543,0.883411,0.948865,1.04956
"MSTRG.29657",13.3031,14.9324,12.6277,13.032,14.3203,13.3112,11.9245
"MSTRG.29658",10.7805,11.5671,10.1522,9.51519,9.26622,8.85776,9.62915
"MSTRG.29659",29.6573,29.6091,27.811,33.7258,34.6993,31.7152,27.4117
"MSTRG.2966",4.90901,4.96907,4.30567,6.55276,5.1288,5.59756,4.78513
"MSTRG.29660",28.2024,22.5335,26.7637,29.2284,28.7142,26.7346,27.0145
"MSTRG.29661",0.185241,0.317074,0.140644,0.0790685,0.100433,0.116358,0.154129
"MSTRG.29662",7.77629,4.36522,5.20306,7.92566,5.10615,4.96867,4.96275
"MSTRG.29663",16.0611,18.6783,17.213,20.6142,18.723,16.115,17.0677
"MSTRG.29664",50.0622,61.6432,64.1671,64.046,57.8728,67.9086,54.5118
"MSTRG.29665",10.5927,8.27902,8.88682,8.98505,9.36426,9.78753,7.48632
"MSTRG.29666",20.5971,16.4453,16.3999,15.3721,14.1052,14.0358,19.0632
"MSTRG.29667",0,0,0,0,0,0,0
"MSTRG.29668",4.63845,5.36038,5.77991,3.5492,2.70586,4.64649,6.81601
"MSTRG.29669",11.852,23.7796,13.3132,15.5241,23.0161,24.1755,15.3216
"MSTRG.2967",0.421881,0.0657454,0.426507,0.109944,0.308291,0.211011,0.102605
"MSTRG.29670",0.138005,0.346817,0.355262,0.112798,0.309298,0.545631,0.278498
"MSTRG.29671",2.91114,5.31292,7.25484,2.30638,1.82592,2.07335,5.91565
"MSTRG.29672",4.11124,5.54953,4.54667,4.24455,3.96693,4.29572,4.67651
"MSTRG.29673",43.5051,61.2667,22.1585,30.6848,106.606,44.8815,40.8248
"MSTRG.29674",0.112185,0.556887,0.939261,0.391554,0.304623,0.248676,0.111024
"MSTRG.29675",31.8427,23.1429,17.1838,41.0527,54.2742,34.8519,24.8549
"MSTRG.29676",1.40338,8.27631,3.34218,2.38334,3.1825,2.50191,3.62581
"MSTRG.29677",10.3097,12.8977,11.6745,13.3597,11.3526,16.2725,10.8094
"MSTRG.29678",16.369,19.2086,20.1811,20.9894,24.6045,24.2779,21.7537
"MSTRG.29679",5.92414,4.28933,4.64479,5.0558,3.93487,4.74441,4.90433
"MSTRG.2968",5.92643,7.43392,6.9436,7.03071,6.21608,7.13067,5.6338
"MSTRG.29680",1.98046,1.43426,1.34305,1.05732,1.2031,1.12744,1.20077
"MSTRG.29681",16.6958,11.2844,17.6494,17.5465,17.1551,14.6778,13.1152
"MSTRG.29682",2.85676,0.0702592,2.74254,4.28843,0.644942,0.329737,1.11065
"MSTRG.29683",0.436233,0.225038,0.388543,0.197693,0.18978,0.215934,0.506814
"MSTRG.29684",0.928203,0.99264,0.86172,0.783355,0.919564,0.875401,0.701587
"MSTRG.29685",27.9429,44.0759,54.1185,31.0591,28.659,36.2292,46.4727
"MSTRG.29686",8.65604,17.2131,13.2964,10.8534,15.7888,12.0181,11.7135
"MSTRG.29687",0.468371,0.513384,0.732224,0.539816,0.336795,0.462917,0.665533
"MSTRG.29688",52.7366,51.4958,39.8278,48.9115,48.325,63.5836,40.8496
"MSTRG.29689",12.9856,14.7247,13.1283,12.7479,11.4115,13.8039,13.8603
"MSTRG.2969",13.5356,15.2709,9.52256,9.39123,11.2427,13.8103,9.89748
"MSTRG.29690",13.6079,13.2225,12.7552,12.7378,12.1849,9.5834,12.2256
"MSTRG.29691",14.4792,13.6818,14.6044,15.8603,15.2256,17.8314,12.5004
"MSTRG.29692",6.49915,5.23905,6.63859,6.89627,4.96626,6.14116,6.80294
"MSTRG.29693",0.598876,1.64705,0.206845,0.300819,0.355771,0.204847,0.677007
"MSTRG.29694",1.1605,2.61401,2.20286,2.38823,0.860305,1.77785,1.63963
"MSTRG.29695",18.6214,43.8935,67.1517,23.9481,14.7787,27.1199,69.9979
"MSTRG.29696",457.444,338.845,367.634,331.067,380.715,289.832,351.046
"MSTRG.29697",1.94621,0,7.96239,5.83848,0.62946,0,1.14385
"MSTRG.29698",65.2256,59.3098,73.1923,62.1309,61.9922,65.8467,61.4817
"MSTRG.29699",1.7781,1.77524,2.0588,1.995,1.37373,1.65039,2.02269
"MSTRG.297",0,0,0,0,0,0,0
"MSTRG.2970",5.70506,7.57928,7.28746,7.39127,6.23843,7.49126,6.76196
"MSTRG.29700",34.759,31.0251,48.521,35.5671,38.452,35.3267,37.0443
"MSTRG.29701",31.8169,42.8413,36.7094,32.4975,33.5371,40.7701,35.4109
"MSTRG.29702",0.097532,0.127646,0.00595537,0.131989,0.24,0.194352,0.0255852
"MSTRG.29703",0,0,0,0,1.84076,0,0
"MSTRG.29704",0,0,0,2.33108,0,0,0
"MSTRG.29705",46.1465,31.3587,0.708163,59.086,91.3976,48.2686,7.00129
"MSTRG.29706",3.15034,2.92097,2.15752,2.04686,4.82765,1.85195,5.22689
"MSTRG.29707",1.6588,0.893051,0.333367,1.94355,5.57412,1.72666,0.811283
"MSTRG.29708",6.40484,3.71546,4.19437,4.59982,5.22363,3.28449,4.15676
"MSTRG.29709",6.13123,4.50912,1.7145,3.44138,2.70162,3.83405,2.16939
"MSTRG.2971",55.3208,58.0148,53.2116,53.6231,55.3037,51.0461,48.2174
"MSTRG.29710",1.67021,1.27514,1.08993,1.04847,1.32063,2.49568,6.66734
"MSTRG.29711",1.13948,0.667197,0.272923,0.796434,1.06953,1.43472,1.77833
"MSTRG.29712",0.455924,0.721858,0.287496,0.477105,0.765878,0.918544,1.18102
"MSTRG.29713",0.0401322,0.0299066,0.0543544,0.0302316,0.0778747,0.0754095,0.60617
"MSTRG.29714",0.246908,0.476332,0.169959,0.250434,0.57226,0.711404,1.13416
"MSTRG.29715",4.41186,3.3959,4.29192,4.89399,3.36861,3.23432,4.22588
"MSTRG.29716",320.889,237.835,192.817,257.497,296.668,240.925,207.862
"MSTRG.29717",2.0805,0.916374,2.60254,1.93342,2.49328,1.54194,1.99541
"MSTRG.29718",21.8772,14.2684,18.5305,23.0505,24.2511,18.2523,20.7726
"MSTRG.29719",0.984114,0.668495,0.967455,1.18109,0.803297,0.929224,1.03654
"MSTRG.2972",0.472982,0.169394,0.249296,1.42088,0.1711,0.097513,0.48674
"MSTRG.29720",2.25942,2.28046,2.82404,2.53577,2.28747,2.07331,2.28635
"MSTRG.29721",21.215,26.1641,23.41,24.7688,23.1634,28.2896,23.7389
"MSTRG.29722",0.906177,0.480475,0.150189,0.130337,1.00349,0.405979,0.556143
"MSTRG.29723",6.39505,6.37496,7.7182,6.60726,6.5393,7.30668,7.46532
"MSTRG.29724",2.68155,4.43392,6.19921,3.98007,5.26426,3.26129,6.30642
"MSTRG.29725",53.7967,52.7663,54.8266,71.0884,76.4143,67.8528,54.7251
"MSTRG.29726",146.188,147.331,136.404,126.127,126.396,91.6856,124.522
"MSTRG.29727",3.52806,3.22452,3.98105,3.40578,4.62555,4.03155,3.16501
"MSTRG.29728",5.80085,10.377,8.25945,9.59918,7.55581,8.49368,8.71005
"MSTRG.29729",8.40985,7.53074,5.91329,6.33549,7.31565,6.59924,6.27586
"MSTRG.2973",59.1079,27.9267,43.1071,39.8656,34.1085,13.6156,47.2438
"MSTRG.29730",5.07075,6.37862,6.10032,3.80695,2.57053,6.9309,6.25882
"MSTRG.29731",4.9815,4.76592,5.83878,5.39348,4.41673,4.70173,5.21007
