"","name","betweenness","closeness","degree"
"OTU80","OTU80",97.4166666666667,0.00361457105885245,14
"OTU234","OTU234",65,0.00318792160263195,7
"OTU75","OTU75",423.25,0.00375471216376553,23
"OTU361","OTU361",121,0.00329916498134322,12
"OTU82","OTU82",800.333333333333,0.00408181591826572,42
"OTU185","OTU185",809,0.00399333911036391,38
"OTU521","OTU521",5.04545454545455,0.00332551836517517,24
"OTU195","OTU195",443.25,0.00391933998314684,29
"OTU426","OTU426",207,0.00366022832504292,18
"OTU108","OTU108",79.975,0.00374951724965411,20
"OTU472","OTU472",4.04545454545454,0.00332551836517517,24
"OTU1159","OTU1159",9.375,0.00317299149638279,12
"OTU74","OTU74",235,0.00412403446043195,47
"OTU253","OTU253",490.5,0.00340205484112404,28
"OTU44","OTU44",653.5,0.00429819132109208,61
"OTU4","OTU4",91,0.00361849485088183,29
"OTU762","OTU762",50,0.00342571340481655,8
"OTU152","OTU152",230.75,0.00399800099950025,30
"OTU88","OTU88",263,0.00384200152911661,35
"OTU415","OTU415",173.5,0.00341302752606699,18
"OTU261","OTU261",138,0.00311939483740154,11
"OTU147","OTU147",205.75,0.00398225507140184,43
"OTU187","OTU187",185.375,0.00360270779517886,23
