Id,Phylum_color,Order_color,Name,Domain,Phylum,Class,Order,Family,Genus,Size
OTU229,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,2385
OTU358,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,2783
OTU1290,#00FFFFFF,Actinomycetales,Intrasporangiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Intrasporangiaceae,Knoellia,2553
OTU519,#00FFFFFF,Actinomycetales,Cellulosimicrobium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Promicromonosporaceae,Cellulosimicrobium,29075
OTU195,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,9431
OTU4,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,76043
OTU2261,#0080FFFF,Alteromonadales,Gammaproteobacteria,Bacteria,Gammaproteobacteria,Alteromonadales,Alteromonadales,Alteromonadaceae,Saccharophagus,2662
OTU705,#0080FFFF,Alteromonadales,Gammaproteobacteria,Bacteria,Gammaproteobacteria,Alteromonadales,Alteromonadales,Alteromonadaceae,Saccharophagus,19605
OTU38,#FFFF00FF,Burkholderiales,Oxalobacteraceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Pseudoduganella,59941
OTU427,#FFFF00FF,Burkholderiales,Oxalobacteraceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Pseudoduganella,2299
OTU188,#FFFF00FF,Burkholderiales,Hydrogenophaga,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Hydrogenophaga,41043
OTU1840,#FFFF00FF,Burkholderiales,Aquabacterium,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,2796
OTU478,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Ramlibacter,19012
OTU181,#FFFF00FF,Burkholderiales,Acidovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Acidovorax,1586
OTU99,#FFFF00FF,Burkholderiales,Pelomonas,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Pelomonas,21095
OTU709,#FFFF00FF,Burkholderiales,Acidovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Acidovorax,1818
OTU304,#FFFF00FF,Burkholderiales,Proteobacteria,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Methylibium,35312
OTU172,#FFFF00FF,Burkholderiales,Aquabacterium,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,10799
OTU197,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Mitsuaria,11039
OTU570,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,4446
OTU254,#FFFF00FF,Burkholderiales,Aquabacterium,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,25924
OTU371,#FFFF00FF,Burkholderiales,Aquabacterium,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,5377
OTU692,#FFFF00FF,Burkholderiales,Burkholderia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiaceae,Burkholderia,2144
OTU976,#FFFF00FF,Burkholderiales,Proteobacteria,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Methylibium,4915
OTU334,#FFFF00FF,Burkholderiales,Massilia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Massilia,1169
OTU233,#FFFF00FF,Burkholderiales,Burkholderia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiaceae,Burkholderia,2778
OTU124,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Rubrivivax,7744
OTU179,#FFFF00FF,Burkholderiales,Variovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Variovorax,12366
OTU376,#FFFF00FF,Burkholderiales,Proteobacteria,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Rubrivivax,3993
