Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Cellular component,cell part,GO:0044464,2,0.005854157,1.333221887,41,9071,61,17993,"Medtr4g051097,Medtr4g050860,Medtr7g088880,Medtr8g087820,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr4g050850,Medtr4g051130,Medtr4g051350,Medtr8g077390,Medtr1g116120,Medtr0094s0110,Medtr4g114550,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr1g100210,Medtr8g077420,Medtr1g017020,Medtr4g035040,Medtr4g051380,Medtr4g051375,Medtr4g034770,Medtr8g102800,Medtr5g054300,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr7g094710,Medtr8g039540,Medtr1g074310,Medtr4g006080,Medtr4g051103,Medtr4g051410,Medtr4g034790,Medtr4g109600,Medtr4g034810,",0.019123581
Cellular component,membrane-bounded organelle,GO:0043227,3,0.006658103,1.467498573,31,6231,61,17993,"Medtr4g051097,Medtr7g088880,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr4g050850,Medtr4g051130,Medtr8g077390,Medtr1g116120,Medtr4g114550,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr8g077420,Medtr4g035040,Medtr4g034770,Medtr8g102800,Medtr5g054300,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr7g094710,Medtr1g074310,Medtr4g006080,Medtr4g051103,Medtr4g051410,Medtr4g034790,Medtr4g109600,",0.021048197
Cellular component,non-membrane-bounded organelle,GO:0043228,3,0.007428797,2.421734098,10,1218,61,17993,"Medtr4g034720,Medtr4g051350,Medtr0094s0110,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",0.022750691
Cellular component,intracellular non-membrane-bounded organelle,GO:0043232,5,0.007428797,2.421734098,10,1218,61,17993,"Medtr4g034720,Medtr4g051350,Medtr0094s0110,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",0.022750691
Cellular component,cell,GO:0005623,2,0.007495011,1.318397006,41,9173,61,17993,"Medtr4g051097,Medtr4g050860,Medtr7g088880,Medtr8g087820,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr4g050850,Medtr4g051130,Medtr4g051350,Medtr8g077390,Medtr1g116120,Medtr0094s0110,Medtr4g114550,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr1g100210,Medtr8g077420,Medtr1g017020,Medtr4g035040,Medtr4g051380,Medtr4g051375,Medtr4g034770,Medtr8g102800,Medtr5g054300,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr7g094710,Medtr8g039540,Medtr1g074310,Medtr4g006080,Medtr4g051103,Medtr4g051410,Medtr4g034790,Medtr4g109600,Medtr4g034810,",0.021603266
Cellular component,chloroplast,GO:0009507,7,0.007955443,2.166221883,12,1634,61,17993,"Medtr4g051097,Medtr7g088880,Medtr4g050850,Medtr4g051130,Medtr1g116120,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr4g034690,Medtr7g094710,Medtr4g006080,Medtr4g034790,",0.022275241
Cellular component,chloroplast stroma,GO:0009570,7,0.028264418,2.914695782,5,506,61,17993,"Medtr7g088880,Medtr1g116120,Medtr4g051370,Medtr7g080250,Medtr4g034690,",0.05539826
Cellular component,plastid stroma,GO:0009532,6,0.031503663,2.830779396,5,521,61,17993,"Medtr7g088880,Medtr1g116120,Medtr4g051370,Medtr7g080250,Medtr4g034690,",0.057173314
Biological process,antibiotic metabolic process,GO:0016999,5,6.80E-08,14.70461538,8,160,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr8g079120,Medtr2g029750,",2.72E-05
Biological process,hydrogen peroxide catabolic process,GO:0042744,7,1.31E-07,17.7469496,7,116,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",2.63E-05
