"","Feature.ID","ID","ID2","ID3","Taxon","Taxon.1","SUM","R_A17_1","R_A17_2","R_A17_3","R_A17_4","R_A17_5","R_dmi2_1","R_dmi2_2","R_dmi2_3","R_dmi2_4","R_dmi2_5","R_dmi3_1","R_dmi3_2","R_dmi3_3","R_dmi3_4","R_dmi3_5","R_ipd3_1","R_ipd3_2","R_ipd3_3","R_ipd3_4","R_ipd3_5","R_lyk3_1","R_lyk3_2","R_lyk3_3","R_lyk3_4","R_lyk3_5","R_nfp_1","R_nfp_2","R_nfp_3","R_nfp_4","R_nfp_5","R_pt4_1","R_pt4_2","R_pt4_3","R_pt4_4","R_pt4_5","RS_A17_1","RS_A17_2","RS_A17_3","RS_A17_4","RS_A17_5","CK_1","CK_2","CK_3","CK_4","CK_5","RS_dmi2_1","RS_dmi2_2","RS_dmi2_3","RS_dmi2_4","RS_dmi2_5","RS_dmi3_1","RS_dmi3_2","RS_dmi3_3","RS_dmi3_4","RS_dmi3_5","RS_ipd3_1","RS_ipd3_2","RS_ipd3_3","RS_ipd3_4","RS_ipd3_5","RS_lyk3_1","RS_lyk3_2","RS_lyk3_3","RS_lyk3_4","RS_lyk3_5","RS_nfp_1","RS_nfp_2","RS_nfp_3","RS_nfp_4","RS_nfp_5","RS_pt4_1","RS_pt4_2","RS_pt4_3","RS_pt4_4","RS_pt4_5"
"pOTU2719","029733cf9ab8732f2536f97e8dab3344","pOTU2719","","","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Phenylobacterium_immobile;","Unassigned",345149.319668631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU871","029a3ce2ce3161cbddc2fd624004d0c6","pOTU871","","","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales","Unassigned",2863069.82069922,0,0,0,0,0,0,0,0,0,2863069.82069922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU1169","029fca2b409eeb750f45420f711161a9","pOTU1169","rOTU299","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Rhizobium_sp.;","Unassigned",5747902.34968901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5747902.34968901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU253","02b4f9f60fa0bbf45116716ca07379e0","pOTU253","","","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium_sp.;","Unassigned",53158569.924021,0,0,0,0,2592238.25289411,0,0,0,0,0,0,3509249.66169119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2991689.16445573,5824811.86185383,0,0,0,0,0,0,0,8168524.53164557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4926773.44259058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU1710","02fa350462871e4d263bf3e40c9e00b5","pOTU1710","rOTU407","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium","Unassigned",4852808.66939146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4852808.66939146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU1327","0316ca77d85c6cfd1bb0dd6bf65566bf","pOTU1327","","","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Phenylobacterium_zucineum;","Unassigned",1588246.78089023,1588246.78089023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU44","03351f4595d079878ad4f87319bc71aa","pOTU44","","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium;Agrobacterium_arsenijevicii;","Unassigned",892142852.224108,0,0,0,0,0,0,0,0,0,0,0,9138670.99398749,0,0,0,0,0,0,0,0,942389.797610614,0,0,0,0,0,0,0,0,0,7311958.76998472,2040252.66141036,2127604.16666667,0,0,0,6126393.39873418,8285365.42689691,13487983.5942259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15919423.3900608,17654271.5026162,0,0,43104171.7580907,5162089.61304976,18117152.3657281,34549474.8424544,235370792.132512,0,0,11167150.2600934,0,1920053.24196504,0,0,0,0,0,0,0,0
"pOTU475","034300664e0c5e4160829089e57b3266","pOTU475","rOTU134","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium","Unassigned",20627395.8473369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533892.8972169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451325.66684977,1309477.42903455,2953928.0645616,3685262.15694794,3075707.09990934,1315848.52833461,0,906043.690712926,0,0,0
"pOTU1091","0348af0a1f61acc0d0bb7a976e2eaa70","pOTU1091","","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales","Unassigned",4241800.507498,0,0,0,0,0,0,0,0,0,0,0,0,948305.216052478,0,3293495.29144552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU1501","0348b9a2a204f8331b7cecde6aa48914","pOTU1501","rOTU365","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Rhizobium_sp.;","Unassigned",3180859.21634577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3180859.21634577
